rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
204,174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,insectEPG2,9998,8000,1973,0.049279523568,8.804803208569e-04,1.079020001050e-03,yes
205,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919.txt,InternalBleeding20,7500,5759,1581,0.055026486058,1.043556000844e-03,1.272629269322e-03,yes
206,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,NOISEGP711MarkerLFM5z3,12000,5948,6007,0.035317684177,1.116638529359e-03,1.355143846310e-03,yes
207,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,DISTORTEDInternalBleeding10,7501,4526,2945,0.045142684373,1.335872517948e-03,1.613372606217e-03,yes
208,177_UCR_Anomaly_insectEPG5_3200_8500_8501.txt,insectEPG5,10028,8500,1527,0.049883508610,3.061475842072e-03,3.679658464029e-03,yes
209,128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388.txt,GP711MarkerLFM5z2,12000,7175,4612,0.033522518139,3.532081028676e-03,4.224977307029e-03,yes
210,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,DISTORTEDInternalBleeding9,7501,6599,820,0.063477282219,5.328581122857e-03,6.343548955782e-03,yes
211,012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt,DISTORTEDECG2,30000,16000,13900,0.019706834532,6.111692538525e-03,7.241341870291e-03,yes
212,021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,DISTORTEDGP711MarkerLFM5z3,12000,5948,6007,0.030661773325,7.039176687011e-03,8.300915904495e-03,yes
213,238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.txt,mit14157longtermecg,99000,72600,26220,0.011751675272,9.703174416661e-03,1.138870236697e-02,yes
214,096_UCR_Anomaly_NOISEECG4_5000_16900_17100.txt,NOISEECG4,30000,16900,12900,0.018902802624,1.058879152745e-02,1.237008356010e-02,yes
215,120_UCR_Anomaly_ECG2_15000_16000_16100.txt,ECG2,30000,16000,13900,0.018169064748,1.455283238301e-02,1.692189811978e-02,yes
216,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.txt,DISTORTEDinsectEPG4,9998,6508,3440,0.032746637412,1.558224450468e-02,1.803500521375e-02,yes
